sample,region,X,Y
5898856,Scotland,257000,561000
5898940,Scotland,375000,774000
5900075,England,471000,432000
5900315,England,373000,247000
5901109,England,589000,227000
5904912,England,542000,178000
5905235,England,470000,343000
5911770,England,504000,429000
5911905,England,593000,223000
5928346,England,325000,390000
5928350,England,501000,207000
5937812,Wales,285000,180000
5938031,England,428000,209000
5939100,England,470000,375000
5943840,England,566000,149000
5944709,Scotland,377000,829000
5945427,England,538000,128000
5947682,England,170000,45000
5948000,England,490000,143000
5949676,England,535000,176000
5950067,England,234000,64000
5950153,England,382000,556000
5952173,England,400000,429000
5953762,England,524000,169000
5954552,England,576000,289000
5959978,Scotland,372000,825000
5961126,England,469000,229000
5961289,England,401000,446000
5961410,England,212000,51000
5964013,Wales,313000,188000
5965128,England,369000,112000
5966386,England,400000,427000
5967453,England,456000,187000
5972542,England,430000,144000
5972968,England,453000,221000
5973695,Scotland,257000,561000
5974533,England,337000,447000
5976086,England,435000,295000
5977510,England,320000,474000
5978309,England,387000,115000
5978516,England,524000,219000
5980581,England,397000,228000
5982963,England,330000,281000
5986351,England,418000,188000
5986470,England,544000,259000
5993958,England,341000,107000
5994180,England,349000,106000
5994799,England,607000,155000
5994951,England,528000,196000
5994969,England,315000,142000
5995568,England,402000,350000
5995653,England,608000,160000
5999351,England,479000,169000
5999867,England,405000,220000
6001834,England,476000,151000
6001910,England,374000,163000
6002675,England,504000,163000
6005782,England,394000,173000
6007260,England,535000,231000
6022948,England,475000,182000
6023016,Scotland,377000,829000
6023859,England,542000,174000
6025190,Scotland,294000,566000
6025219,Wales,352000,206000
6025254,England,509000,175000
6025339,England,395000,193000
6025379,England,401000,162000
6025880,Scotland,266000,843000
6026780,England,458000,379000
6026831,England,352000,492000
6026943,England,457000,106000
6028220,England,526000,168000
6029950,England,489000,159000
6031163,Scotland,347000,735000
6035622,England,378000,444000
6035628,England,550000,173000
6037072,Scotland,185000,731000
6037081,England,541000,180000
6037403,England,487000,117000
6063067,Scotland,260000,873000
6090659,England,545000,234000
6103765,England,367000,177000
6107310,England,355000,180000
6107861,England,534000,173000
6107988,Wales,251000,263000
6109443,England,601000,267000
6109562,England,525000,170000
6111349,England,348000,457000
6111781,England,512000,164000
6113177,England,471000,449000
6115067,England,500000,191000
